date;state;positive;negative;totalTestResults;recovered;death;hospitalized
20201206;AK;35720;1042056;1077776;7165;143;799
20201206;AL;269877;1421126;1645041;168387;3889;26331
20201206;AR;170924;1614979;1763150;149490;2660;9401
20201206;AS;0;2140;2140;;0;
20201206;AZ;364276;2018813;2370499;56382;6950;28248
20201206;CA;1341700;23853346;25195046;;19876;
20201206;CO;260581;1608829;3478160;13941;2724;14868
20201206;CT;127715;3294383;3422098;9800;5146;12257
20201206;DC;23136;711497;734633;16665;697;
20201206;DE;39912;400854;778298;18851;793;
20201206;FL;1040727;6505237;13083521;;19423;57185
20201206;GA;443822;4032230;4476052;;9806;36039
20201206;GU;7004;79571;86575;6056;113;
20201206;HI;18842;295153;701776;11958;262;1325
20201206;IA;213390;885199;1098589;159063;2683;
20201206;ID;109705;398027;490387;42932;1032;4372
20201206;IL;787573;10313641;11101214;;14116;
20201206;IN;381617;1928262;4577211;224059;6242;28367
20201206;KS;168295;676891;845186;3615;1786;5417
20201206;KY;200632;2568543;2732005;30161;2072;10678
20201206;LA;251123;3356960;3608083;202891;6584;
20201206;MA;256844;3250728;8970252;169809;11004;14397
20201206;MD;215027;2225595;4685476;8785;4846;22095
20201206;ME;13348;900832;914180;10080;227;768
20201206;MI;426576;6538482;6965058;197750;10321;
20201206;MN;350862;2301135;4431677;308218;3984;18233
20201206;MO;322298;1544226;3196185;;4192;
20201206;MP;106;17010;17116;29;2;4
20201206;MS;164931;982395;1147326;128746;3961;7486
20201206;MT;67875;620339;688214;50287;736;2836
20201206;NC;394990;5216286;5611276;315979;5543;
20201206;ND;82981;274492;1132025;76999;1019;2880
20201206;NE;138568;631739;1456368;69840;1194;4547
20201206;NH;24771;415976;861473;19553;564;849
20201206;NJ;368016;5918797;6286813;46021;17321;42456
20201206;NM;108088;1539888;1647976;37041;1749;7321
20201206;NV;168139;853647;1733263;;2315;
20201206;NY;705827;19888867;20594694;87949;27149;89995
20201206;OH;475024;6000686;6475710;321505;6959;29233
20201206;OK;216486;2008829;2225315;182942;1896;13119
20201206;OR;84496;2005617;2090113;5870;1033;4859
20201206;PA;420114;2929036;3349150;238660;11331;
20201206;PR;56671;305972;362643;47406;1192;
20201206;RI;62137;482922;1608848;3939;1413;4843
20201206;SC;232099;2296092;2528191;119844;4566;12380
20201206;SD;85991;254004;339995;68449;1110;4835
20201206;TN;400594;4289928;4690522;360152;4943;12593
20201206;TX;1249323;10111653;11360976;1030716;22594;
20201206;UT;215407;1180321;1922236;153027;939;8822
20201206;VA;255053;3268822;3492201;25235;4200;15295
20201206;VI;1633;27660;29293;1513;23;
20201206;VT;5015;228865;583802;2951;79;
20201206;WA;175793;2958052;3133845;;2925;11475
20201206;WI;441067;2196722;4623227;348995;3952;18216
20201206;WV;54997;1168366;1223363;35082;838;
20201206;WY;36317;144576;417627;29656;257;852
